Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"3272" TT,"462952","13:25:05.18"
"3276" TT,"166066",""
"3284" TT,"28432",""
"3285" TT,"84233",""
"3287" TT,"0",""
"3288" TT,"0",""
"3289" TT,"423373","13:24:59.85"
"3290" TT,"46006",""
"3293" TT,"338738","13:29:27.84"
"3294" TT,"241601",""
"3296" TT,"282244",""
"3297" TT,"26091",""
"3299" TT,"194868","13:24:36.08"
"3303" TT,"55976",""
"3305" TT,"73625","13:25:00.87"
"3306" TT,"54525",""
"3308" TT,"76496",""
"3310" TT,"57398",""
"3311" TT,"896593","13:24:25.12"
"3312" TT,"92252",""
"3313" TT,"110929",""
"3315" TT,"45339",""
"3317" TT,"306722",""
"3321" TT,"235194","09:01:20.08"
"3322" TT,"12648",""
"3323" TT,"1832033","13:24:14.05"
"3324" TT,"928080","09:26:00.21"
"3325" TT,"253205",""
"3332" TT,"7288",""
"3338" TT,"46985",""
"3339" TT,"0",""
"3346" TT,"324746","13:29:16.23"
"3354" TT,"10259",""
"3356" TT,"33816","13:24:14.32"
"3360" TT,"266508",""
"3362" TT,"3383188","13:29:25.54"
"3363" TT,"197254","11:18:03.14"
"3372" TT,"0",""
"3373" TT,"23958",""
"3374" TT,"2955267","13:23:27.57"
"3376" TT,"366803","13:24:45.21"
"3379" TT,"57116",""
"3380" TT,"1431905","13:29:35.38"
"3383" TT,"55513",""
"3388" TT,"17783",""
"3390" TT,"222309","13:24:44.30"
"3402" TT,"235158",""
"3406" TT,"2375293","13:23:23.62"
"3413" TT,"1316378","13:29:25.81"
"3416" TT,"24131","10:09:25.63"
"3419" TT,"201368",""
"3428" TT,"3129679","13:24:52.33"
"3431" TT,"0",""
"3432" TT,"68853",""
"3434" TT,"3510",""
"3437" TT,"1356532",""
"3438" TT,"157557",""
"3441" TT,"2223405",""
"3443" TT,"1960636","13:32:11.45"
"3444" TT,"14251",""
"3450" TT,"515307","13:29:01.03"
"3452" TT,"0",""
"3454" TT,"455341","13:29:08.71"
"3455" TT,"447071","13:24:59.04"
"3466" TT,"4556",""
"3479" TT,"61689",""
"3481" TT,"619","08:57:28.04"
"3483" TT,"90121",""
"3484" TT,"114213",""
"3489" TT,"10241",""
"3490" TT,"113734","13:24:54.30"
"3491" TT,"388484","13:24:36.27"
"3492" TT,"247938",""
"3494" TT,"131119","13:23:37.52"
"3498" TT,"651766",""
"3499" TT,"384972",""
"3501" TT,"98203","13:24:15.12"
"3504" TT,"1534959","13:29:43.87"
"3508" TT,"260147",""
"3511" TT,"15570",""
"3512" TT,"427995",""
"3514" TT,"430","13:12:48.95"
"3515" TT,"673390","13:24:02.31"
"3516" TT,"35984",""
"3518" TT,"19555",""
"3519" TT,"4",""
"3520" TT,"0",""
"3521" TT,"0",""
"3522" TT,"115851","13:24:43.59"
"3523" TT,"0",""
"3526" TT,"520174","13:24:52.34"
"3527" TT,"125774","13:29:18.16"
"3528" TT,"110735",""
"3529" TT,"77544","13:27:56.63"
"3531" TT,"65836",""
"3532" TT,"690920","11:53:16.91"
"3533" TT,"764147","13:24:18.71"
"3535" TT,"300429",""
"3537" TT,"68966",""
"3540" TT,"191101",""
"3541" TT,"120122","13:24:16.17"
"3545" TT,"1973756","09:46:33.88"
"3546" TT,"147725","13:29:16.11"
"3548" TT,"178044","13:24:32.45"
"3550" TT,"48843","13:25:00.99"
"3551" TT,"144971",""
"3552" TT,"972947",""
"3553" TT,"0",""
"3555" TT,"15648",""
"3556" TT,"106056","13:29:18.40"
